accession	genome	experiment_type	num_reads
SRX10399033	ce11	TFs and others	12727087
SRX10399035	ce11	TFs and others	15240550
SRX10399036	ce11	TFs and others	9752445
SRX10435504	ce11	TFs and others	28415103
SRX10435505	ce11	TFs and others	26879836
SRX10435506	ce11	TFs and others	13134824
SRX10435507	ce11	TFs and others	15101882
SRX10435508	ce11	TFs and others	6835838
SRX10435509	ce11	TFs and others	21224863
SRX10435510	ce11	TFs and others	22508594
SRX10435511	ce11	TFs and others	11456007
SRX10435522	ce11	TFs and others	19737524
SRX10435523	ce11	TFs and others	17374353
SRX10435524	ce11	TFs and others	17673881
SRX10435525	ce11	TFs and others	21755740
SRX10435526	ce11	TFs and others	26895587
SRX10435527	ce11	TFs and others	16193821
SRX10435528	ce11	TFs and others	15770325
SRX10435529	ce11	TFs and others	21391298
SRX10435530	ce11	TFs and others	15548551
SRX10435531	ce11	TFs and others	14873708
SRX10435532	ce11	TFs and others	13590622
SRX10435533	ce11	TFs and others	23068113
SRX10435534	ce11	TFs and others	10997362
SRX10435535	ce11	TFs and others	18842116
SRX10435536	ce11	TFs and others	16581305
SRX10435537	ce11	TFs and others	9949032
SRX10680855	ce11	TFs and others	13636350
SRX10680856	ce11	TFs and others	14110734
SRX10680858	ce11	TFs and others	6669380
SRX10680859	ce11	TFs and others	9853605
SRX10925641	ce11	Histone	20770353
SRX10925642	ce11	Histone	21701825
SRX10925643	ce11	Histone	22745630
SRX10925644	ce11	Histone	22996189
SRX10925645	ce11	Histone	20799027
SRX10925646	ce11	Histone	23165936
SRX10925647	ce11	Histone	22878026
SRX10925648	ce11	Histone	22236561
SRX10925649	ce11	Histone	23424289
SRX10925650	ce11	Histone	23421007
SRX10925653	ce11	Histone	20163185
SRX10925654	ce11	Histone	22079937
SRX10925655	ce11	Histone	24657757
SRX10925656	ce11	Histone	22645149
SRX10925679	ce11	Histone	21745646
SRX10925680	ce11	Histone	21684131
SRX10925681	ce11	Histone	22685309
SRX10925682	ce11	Histone	23185339
SRX10925683	ce11	Histone	23315447
SRX10925684	ce11	Histone	23505606
SRX1099836	ce11	TFs and others	6675524
SRX1099837	ce11	TFs and others	20043959
SRX1099838	ce11	TFs and others	12979175
SRX1099839	ce11	TFs and others	9521857
SRX1099840	ce11	TFs and others	18006842
SRX1099841	ce11	TFs and others	10264029
SRX11322242	ce11	RNA polymerase	8119087
SRX11322243	ce11	RNA polymerase	8727747
SRX11322244	ce11	Histone	10584893
SRX11322245	ce11	Histone	6526657
SRX1132912	ce11	TFs and others	14191303
SRX1132915	ce11	Histone	22878101
SRX1132916	ce11	TFs and others	29558379
SRX1132918	ce11	Histone	25944757
SRX1132919	ce11	TFs and others	12232138
SRX113600	ce11	Histone	7970866
SRX113601	ce11	Histone	12127846
SRX113602	ce11	Histone	12375428
SRX113603	ce11	Histone	23808649
SRX113604	ce11	Histone	11039671
SRX113605	ce11	Histone	11435261
SRX113606	ce11	Histone	9740995
SRX113607	ce11	Histone	8241670
SRX113608	ce11	Histone	6956186
SRX113609	ce11	Histone	14958099
SRX113610	ce11	Histone	14341616
SRX113611	ce11	Histone	15876751
SRX113616	ce11	Histone	7097223
SRX113617	ce11	Histone	6857333
SRX113618	ce11	Histone	7627245
SRX113619	ce11	Histone	7562954
SRX113620	ce11	Histone	6873247
SRX113621	ce11	Histone	7751200
SRX11633392	ce11	TFs and others	11159475
SRX11633393	ce11	TFs and others	14335432
SRX11633394	ce11	TFs and others	9798601
SRX11633395	ce11	TFs and others	11081177
SRX11633396	ce11	TFs and others	14804697
SRX11633400	ce11	TFs and others	13997378
SRX11633401	ce11	TFs and others	18428596
SRX11633402	ce11	TFs and others	22364902
SRX11633403	ce11	TFs and others	10732127
SRX11633404	ce11	TFs and others	17038881
SRX11633405	ce11	TFs and others	27402976
SRX118221	ce11	TFs and others	3773496
SRX118222	ce11	TFs and others	3560372
SRX118226	ce11	TFs and others	7426844
SRX118227	ce11	TFs and others	11242035
SRX120286	ce11	TFs and others	6307945
SRX120287	ce11	TFs and others	6005290
SRX1299429	ce11	Histone	8967527
SRX13110309	ce11	RNA polymerase	9205537
SRX13110311	ce11	RNA polymerase	10742112
SRX13110313	ce11	RNA polymerase	7352008
SRX13110314	ce11	RNA polymerase	18087252
SRX13110315	ce11	RNA polymerase	21198851
SRX13110319	ce11	TFs and others	16705645
SRX13110320	ce11	TFs and others	16561614
SRX13110321	ce11	TFs and others	19007906
SRX13110322	ce11	TFs and others	14600942
SRX13110324	ce11	TFs and others	16808427
SRX13110326	ce11	TFs and others	13613036
SRX13110327	ce11	TFs and others	17825908
SRX13110328	ce11	TFs and others	18467068
SRX13110329	ce11	TFs and others	13248824
SRX13110330	ce11	TFs and others	13049705
SRX13110341	ce11	TFs and others	16667868
SRX13110342	ce11	TFs and others	17870653
SRX13110343	ce11	TFs and others	16519686
SRX13110344	ce11	TFs and others	17904533
SRX13110345	ce11	TFs and others	13003194
SRX13110346	ce11	TFs and others	11741156
SRX13110347	ce11	TFs and others	19147033
SRX13110348	ce11	TFs and others	15860083
SRX13110349	ce11	TFs and others	20522787
SRX13110350	ce11	TFs and others	15997017
SRX13110351	ce11	TFs and others	12742419
SRX13110352	ce11	TFs and others	8256086
SRX13110354	ce11	TFs and others	20710289
SRX13110356	ce11	TFs and others	15902738
SRX13496419	ce11	TFs and others	12054970
SRX13496420	ce11	TFs and others	16285563
SRX1353663	ce11	TFs and others	14006131
SRX1353664	ce11	TFs and others	15191543
SRX1353665	ce11	TFs and others	14247449
SRX1353666	ce11	TFs and others	14547030
SRX1353667	ce11	TFs and others	15113259
SRX1353668	ce11	TFs and others	14864045
SRX1388756	ce11	RNA polymerase	4071852
SRX1388757	ce11	RNA polymerase	4094047
SRX1388758	ce11	RNA polymerase	4494469
SRX1388759	ce11	RNA polymerase	4178244
SRX1388760	ce11	RNA polymerase	3999906
SRX1388761	ce11	RNA polymerase	6278884
SRX1388762	ce11	RNA polymerase	3585613
SRX1388763	ce11	RNA polymerase	4976690
SRX1388764	ce11	RNA polymerase	6061718
SRX1388765	ce11	RNA polymerase	4012072
SRX1388766	ce11	RNA polymerase	3615269
SRX1388767	ce11	RNA polymerase	5332698
SRX1388768	ce11	Histone	3322867
SRX1388769	ce11	Histone	3183642
SRX1388770	ce11	Histone	3272186
SRX1388771	ce11	Histone	8786527
SRX1388772	ce11	Histone	6307347
